epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1104.63,0.56705,0.62266,0.00778,0.83245,0.9027,0.88574,0.80805,0.46321,0.7484,0.01121,0.000848969,0.000848969,0.000848969
43,1131.21,0.56176,0.61809,0.00703,0.89679,0.86641,0.90948,0.80813,0.48602,0.55519,0.01239,0.000834822,0.000834822,0.000834822
44,1157.81,0.49351,0.52834,0.00662,0.83884,0.82623,0.90678,0.84411,0.43669,0.56288,0.01114,0.000820675,0.000820675,0.000820675
45,1184.46,0.51524,0.56415,0.00666,0.89508,0.81468,0.90448,0.82318,0.52244,0.59314,0.01341,0.000806528,0.000806528,0.000806528
46,1211.33,0.51196,0.62194,0.00651,0.83558,0.88046,0.9183,0.85709,0.45871,0.6802,0.0119,0.00079238,0.00079238,0.00079238
47,1237.91,0.49794,0.58539,0.00639,0.89264,0.83676,0.88728,0.8383,0.41258,0.6749,0.01039,0.000778233,0.000778233,0.000778233
48,1265.31,0.51185,0.51996,0.00645,0.85001,0.83864,0.87391,0.81326,0.43358,0.66806,0.0105,0.000764086,0.000764086,0.000764086
49,1292.09,0.51769,0.53099,0.00692,0.85925,0.87877,0.91291,0.83873,0.45995,0.54561,0.01123,0.000749939,0.000749939,0.000749939
50,1319.41,0.51147,0.54971,0.0064,0.83015,0.88391,0.92014,0.8386,0.48623,0.535,0.01187,0.000735792,0.000735792,0.000735792
51,1346.88,0.5401,0.58061,0.00685,0.83274,0.90829,0.91629,0.82336,0.47525,0.63602,0.01266,0.000721645,0.000721645,0.000721645
52,1374.03,0.50791,0.50448,0.00683,0.77655,0.94691,0.91818,0.81444,0.487,0.58017,0.01215,0.000707498,0.000707498,0.000707498
